coupon_key	coupon_brand	coupon_category	coupon_content	coupon_expired_date
1	지마켓	온라인	사은품 제공	2019/02/19 21:49:52
2	스타벅스	카페	사은품 제공	2019/06/25 09:03:47
3	한신포차	유흥	10퍼센트 할인	2019/10/04 01:27:18
4	yes24	도서	2퍼센트 할인	2018/07/23 23:20:35
5	아웃백	식사	10퍼센트 할인	2019/01/08 03:26:49
6	아웃백	식사	서비스 제공	2018/11/25 17:34:59
7	스타벅스	카페	사은품 제공	2018/07/06 09:25:23
8	한신포차	유흥	사은품 제공	2018/12/06 21:36:54
9	스타벅스	카페	10퍼센트 할인	2019/10/13 02:56:35
10	아웃백	식사	서비스 제공	2018/10/26 16:46:01
11	삼성전자	쇼핑	사은품 제공	2018/07/31 09:10:59
12	한신포차	유흥	5퍼센트 할인	2019/02/02 07:12:54
13	아웃백	식사	2퍼센트 할인	2018/10/07 21:10:59
14	원더플레이스	옷	서비스 제공	2018/11/07 11:13:23
15	원더플레이스	옷	사은품 제공	2018/07/25 12:48:25
16	반디앤루니스	도서	사은품 제공	2019/08/20 05:20:35
17	아웃백	식사	사은품 제공	2019/05/19 16:48:54
18	스타벅스	카페	2퍼센트 할인	2019/03/15 07:56:06
19	스타벅스	카페	서비스 제공	2019/07/12 14:04:45
20	한신포차	유흥	서비스 제공	2019/02/08 10:15:47
21	아웃백	식사	5퍼센트 할인	2019/04/09 04:31:37
22	이디야	카페	10퍼센트 할인	2018/08/30 15:12:25
23	아웃백	식사	사은품 제공	2019/02/13 23:58:01
24	yes24	도서	10퍼센트 할인	2019/03/24 22:50:21
25	삼성전자	쇼핑	2퍼센트 할인	2019/08/26 13:51:47
26	스타벅스	카페	서비스 제공	2019/10/13 11:04:45
27	교촌치킨	식사	10퍼센트 할인	2018/06/11 11:01:52
28	교촌치킨	식사	2퍼센트 할인	2018/09/29 11:17:42
29	한신포차	유흥	서비스 제공	2018/12/15 02:14:49
30	한신포차	유흥	서비스 제공	2019/03/27 08:39:18
31	아웃백	식사	5퍼센트 할인	2019/05/04 06:13:52
32	스타벅스	카페	사은품 제공	2018/12/08 23:19:09
33	이디야	카페	사은품 제공	2019/06/18 07:47:28
34	지마켓	온라인	10퍼센트 할인	2019/02/14 14:09:04
35	교촌치킨	식사	사은품 제공	2019/09/18 06:21:04
36	한신포차	유흥	서비스 제공	2019/04/10 15:29:42
37	이디야	카페	사은품 제공	2018/06/02 04:28:45
38	지마켓	온라인	5퍼센트 할인	2019/03/02 19:37:23
39	교촌치킨	식사	2퍼센트 할인	2019/05/01 04:11:28
40	교촌치킨	식사	사은품 제공	2018/12/10 15:36:54
41	교촌치킨	식사	서비스 제공	2019/04/28 01:43:09
42	삼성전자	쇼핑	10퍼센트 할인	2019/07/16 05:36:25
43	교촌치킨	식사	5퍼센트 할인	2019/08/19 00:23:57
44	아웃백	식사	서비스 제공	2019/01/20 19:58:59
45	교촌치킨	식사	5퍼센트 할인	2019/04/28 18:55:37
46	yes24	도서	5퍼센트 할인	2019/01/29 10:14:21
47	아웃백	식사	2퍼센트 할인	2018/10/26 10:50:21
48	반디앤루니스	도서	서비스 제공	2018/11/27 15:49:52
49	이디야	카페	10퍼센트 할인	2018/11/29 19:34:30
50	yes24	도서	사은품 제공	2019/02/18 13:15:47
51	원더플레이스	옷	10퍼센트 할인	2019/04/14 15:39:47
52	스타벅스	카페	5퍼센트 할인	2018/07/12 08:45:04
53	아웃백	식사	2퍼센트 할인	2018/07/02 13:37:23
54	아웃백	식사	2퍼센트 할인	2019/06/01 15:59:57
55	원더플레이스	옷	5퍼센트 할인	2019/01/04 12:51:18
56	교촌치킨	식사	사은품 제공	2018/10/25 11:55:09
57	지마켓	온라인	서비스 제공	2018/06/27 21:08:06
58	삼성전자	쇼핑	5퍼센트 할인	2018/12/28 17:19:09
59	yes24	도서	2퍼센트 할인	2019/08/12 20:33:33
60	교촌치킨	식사	10퍼센트 할인	2018/07/13 15:46:59
61	반디앤루니스	도서	2퍼센트 할인	2018/07/10 12:15:18
62	yes24	도서	10퍼센트 할인	2019/06/16 01:30:11
63	원더플레이스	옷	5퍼센트 할인	2018/08/08 13:46:01
64	스타벅스	카페	사은품 제공	2018/08/29 11:39:18
65	반디앤루니스	도서	10퍼센트 할인	2018/12/13 21:25:23
66	삼성전자	쇼핑	10퍼센트 할인	2018/10/05 11:23:28
67	한신포차	유흥	10퍼센트 할인	2019/05/15 16:17:13
68	원더플레이스	옷	사은품 제공	2018/12/03 00:16:45
69	스타벅스	카페	서비스 제공	2018/12/08 15:51:18
70	삼성전자	쇼핑	2퍼센트 할인	2019/07/15 02:11:57
71	반디앤루니스	도서	5퍼센트 할인	2019/08/03 05:14:49
72	교촌치킨	식사	사은품 제공	2019/08/30 12:41:13
73	반디앤루니스	도서	2퍼센트 할인	2019/09/06 15:26:49
74	이디야	카페	5퍼센트 할인	2019/07/28 18:55:37
75	반디앤루니스	도서	서비스 제공	2019/05/28 19:38:49
76	지마켓	온라인	2퍼센트 할인	2019/09/18 10:21:33
77	교촌치킨	식사	5퍼센트 할인	2018/09/28 04:14:21
78	스타벅스	카페	서비스 제공	2018/07/09 20:09:04
79	원더플레이스	옷	2퍼센트 할인	2018/10/16 04:58:59
80	삼성전자	쇼핑	사은품 제공	2018/08/04 18:28:16
81	원더플레이스	옷	10퍼센트 할인	2019/07/03 19:07:09
82	스타벅스	카페	사은품 제공	2019/08/01 18:16:45
83	한신포차	유흥	5퍼센트 할인	2019/10/07 20:32:06
84	한신포차	유흥	서비스 제공	2018/06/03 01:53:13
85	교촌치킨	식사	사은품 제공	2018/06/07 03:02:21
86	스타벅스	카페	5퍼센트 할인	2019/07/30 10:54:40
87	스타벅스	카페	5퍼센트 할인	2019/05/07 05:36:25
88	원더플레이스	옷	사은품 제공	2018/11/07 19:51:47
89	삼성전자	쇼핑	사은품 제공	2018/09/12 23:32:06
90	지마켓	온라인	사은품 제공	2019/05/09 20:58:01
91	삼성전자	쇼핑	사은품 제공	2019/07/25 17:49:23
92	지마켓	온라인	서비스 제공	2019/08/25 02:03:18
93	원더플레이스	옷	5퍼센트 할인	2019/09/05 13:28:45
94	원더플레이스	옷	사은품 제공	2019/10/09 19:53:13
95	이디야	카페	서비스 제공	2018/11/06 08:42:11
96	이디야	카페	사은품 제공	2018/11/29 19:27:18
97	반디앤루니스	도서	10퍼센트 할인	2018/11/24 20:34:59
98	아웃백	식사	2퍼센트 할인	2018/12/02 13:58:59
99	교촌치킨	식사	2퍼센트 할인	2018/08/22 11:22:01
100	이디야	카페	10퍼센트 할인	2019/03/14 12:48:25
