user_key	month_day	day	step_num	kcal	km	time	speed
user_18	0531	THR	16279	326	8.1395	100	5.9
user_38	0526	SAT	15247	305	7.6235	26	1.5
user_41	0524	THR	3114	62	1.557	89	8.9
user_18	0526	SAT	9486	190	4.743	67	4
user_58	0528	MON	3264	65	1.632	74	4.4
user_20	0531	THR	8990	180	4.495	39	2.3
user_54	0529	TUE	16090	322	8.045	108	4.7
user_68	0530	WEN	3350	67	1.675	11	2.8
user_98	0527	SUN	3794	76	1.897	81	3.2
user_33	0526	SAT	19724	394	9.862	21	1.3
user_96	0528	MON	6698	134	3.349	63	1.1
user_96	0524	THR	11934	239	5.967	77	3
user_98	0527	SUN	8530	171	4.265	101	5.9
user_43	0526	SAT	4816	96	2.408	113	6.9
user_20	0601	FRI	5058	101	2.529	116	4.6
user_100	0524	THR	5701	114	2.8505	29	5.8
user_97	0527	SUN	5926	119	2.963	120	2
user_48	0527	SUN	6237	125	3.1185	8	6.8
user_10	0530	WEN	5835	117	2.9175	44	5.1
user_27	0524	THR	299	6	0.1495	94	0.6
user_89	0529	TUE	11357	227	5.6785	76	9.9
user_80	0526	SAT	11488	230	5.744	33	4.9
user_83	0522	TUE	15315	306	7.6575	41	4.9
user_85	0527	SUN	3205	64	1.6025	36	5.2
user_69	0530	WEN	17765	355	8.8825	66	7.4
user_13	0522	TUE	5054	101	2.527	22	0.5
user_86	0601	FRI	14088	282	7.044	28	0.4
user_3	0531	THR	3551	71	1.7755	12	0.3
user_44	0531	THR	2848	57	1.424	26	0.9
user_93	0529	TUE	14378	288	7.189	33	3.1
user_80	0601	FRI	2817	56	1.4085	44	6.2
user_77	0531	THR	3179	64	1.5895	102	9.6
user_27	0525	FRI	8414	168	4.207	40	6.5
user_96	0526	SAT	3692	74	1.846	94	5.5
user_4	0601	FRI	18346	367	9.173	87	1.6
user_94	0526	SAT	5973	119	2.9865	44	8.2
user_79	0522	TUE	11753	235	5.8765	40	8.4
user_32	0530	WEN	203	4	0.1015	43	2.1
user_49	0528	MON	5005	100	2.5025	75	4.4
user_74	0523	WEN	13243	265	6.6215	43	5.6
user_91	0531	THR	17713	354	8.8565	5	5.7
user_14	0522	TUE	12501	250	6.2505	50	3
user_45	0526	SAT	13329	267	6.6645	43	8.3
user_36	0525	FRI	10545	211	5.2725	48	5.1
user_45	0601	FRI	5828	117	2.914	69	8
user_75	0530	WEN	3906	78	1.953	14	6.9
user_100	0524	THR	5073	101	2.5365	16	3.1
user_36	0524	THR	1412	28	0.706	25	1.1
user_41	0528	MON	9089	182	4.5445	85	1.9
user_28	0528	MON	16899	338	8.4495	114	8.4
user_11	0528	MON	6184	124	3.092	93	3.9
user_99	0601	FRI	15890	318	7.945	46	4.7
user_75	0530	WEN	4263	85	2.1315	15	9.9
user_83	0525	FRI	10474	209	5.237	105	7
user_53	0529	TUE	10654	213	5.327	60	3.3
user_24	0530	WEN	19685	394	9.8425	107	6.2
user_4	0601	FRI	15997	320	7.9985	30	3
user_48	0523	WEN	14483	290	7.2415	79	6.4
user_35	0601	FRI	3576	72	1.788	23	8.9
user_96	0523	WEN	12546	251	6.273	58	3.5
user_37	0524	THR	2755	55	1.3775	64	1
user_38	0526	SAT	12073	241	6.0365	9	5.4
user_66	0531	THR	15555	311	7.7775	92	6.3
user_91	0601	FRI	8155	163	4.0775	71	6.8
user_92	0526	SAT	7060	141	3.53	16	7.1
user_39	0525	FRI	3695	74	1.8475	83	6.3
user_35	0524	THR	15338	307	7.669	33	8.2
user_67	0524	THR	7865	157	3.9325	108	5.1
user_60	0522	TUE	8658	173	4.329	30	7.5
user_49	0527	SUN	267	5	0.1335	75	4.3
user_83	0601	FRI	11660	233	5.83	97	5.8
user_25	0524	THR	19797	396	9.8985	90	1.6
user_32	0529	TUE	16496	330	8.248	79	3.4
user_99	0601	FRI	5572	111	2.786	102	1.6
user_60	0524	THR	16427	329	8.2135	54	6.5
user_47	0526	SAT	4250	85	2.125	28	6.5
user_29	0528	MON	1449	29	0.7245	11	4.4
user_6	0528	MON	883	18	0.4415	82	0.5
user_13	0525	FRI	15506	310	7.753	31	6.1
user_28	0529	TUE	18587	372	9.2935	84	2.6
user_56	0601	FRI	15450	309	7.725	75	9.5
user_46	0601	FRI	7466	149	3.733	9	3.5
user_82	0525	FRI	15758	315	7.879	51	9
user_51	0527	SUN	2541	51	1.2705	69	7.5
user_94	0525	FRI	3943	79	1.9715	102	6.7
user_41	0525	FRI	19272	385	9.636	80	3.1
user_54	0524	THR	11193	224	5.5965	9	0.3
user_53	0526	SAT	4276	86	2.138	57	2.8
user_23	0530	WEN	13461	269	6.7305	35	8.1
user_52	0524	THR	10979	220	5.4895	17	7.6
user_65	0522	TUE	9416	188	4.708	12	4.9
user_6	0531	THR	13005	260	6.5025	109	2.7
user_12	0530	WEN	3242	65	1.621	39	7.4
